	Description	MG1999112202AA.CEL	MG1999112204AA.CEL	MG1999112206AA.CEL	MG2000011801AA.CEL	MG2000011803AA.CEL	MG2000011807AA.CEL	MG2000030308AA.CEL	MG2000031503AA.CEL	MG2000032015AA.CEL	MG2000033106AA.CEL	MG2000033107AA.CEL	MG2000033109AA.CEL	MG2000040501AA.CEL	MG2000040502AA.CEL	MG2000040504AA.CEL	MG2000040505AA.CEL	MG2000040508AA.CEL	MG2000040509AA.CEL	MG2000040510AA.CEL	MG2000040511AA.CEL	MG2000040512AA.CEL	MG2000040513AA.CEL	MG2000051201AA.CEL	MG2000051202AA.CEL	MG2000051204AA.CEL	MG2000051205AA.CEL	MG2000051207AA.CEL	MG2000051208AA.CEL	MG2000051209AA.CEL	MG2000051211AA.CEL	MG2000051213AA.CEL	MG2000061902AA.CEL	MG2000061903AA.CEL	MG2000061904AA.CEL	MG2000061905AA.CEL	MG2000061906AA.CEL	MG2000070709AA.CEL	MG2000070710AA.CEL	MG2000070711AA.CEL	MG2000070712AA.CEL	MG2000070713AA.CEL	MG2000071102AA.CEL
AB005535_s_at	"Clock, partial cds"	1.35E+05	1.46E+03	3.78E+03	2.82E+03	4.26E+03	4.52E+04	6.24E+06	1.59E+03	8.44E+04	4.31E+06	8.68E+04	3.78E+04	1.03E+06	9.93E+03	1.81E+04	4.82E+04	5.06E+04	7.16E+03	1.19E+03	2.87E+05	2.80E+04	9.34E+04	1.24E+01	1.50E+05	3.85E+04	3.62E+04	1.20E+05	1.22E+06	2.59E+05	7.88E+03	3.61E+05	1.33E+07	5.14E+05	1.59E+04	3.05E+03	5.82E+04	8.21E+04	5.28E+03	4.17E+05	5.88E+03	6.62E+04	7.78E+04
AB006190_at	Aquaporin 6	1.11E+04	1.58E+05	3.08E+04	7.03E+03	1.50E+04	5.76E+00	1.19E+00	1.47E-01	6.02E+03	8.38E-02	4.66E-02	2.81E+02	1.27E-01	8.82E+00	2.39E+01	5.79E-01	9.41E-02	1.15E-01	1.41E-01	3.97E-01	3.28E-01	6.53E-02	7.23E-02	9.46E-01	1.89E-01	1.01E+02	1.92E-01	1.50E-01	5.27E-02	3.67E+00	2.79E+01	4.17E-02	3.94E-02	6.23E-02	4.88E-02	2.91E-02	1.72E+02	1.94E-01	1.44E+02	2.38E+00	1.22E+02	5.68E+00
AB006781_s_at	Galectin-4	1.17E+04	4.89E+03	9.37E+03	1.32E+03	3.10E+03	2.52E+02	4.22E+03	1.21E+02	2.02E+05	9.99E+02	1.25E+04	4.29E+04	8.54E+02	8.78E+02	1.49E+03	2.94E+02	4.02E+05	2.44E+02	8.68E+01	1.31E+03	8.51E+04	2.74E+05	4.36E+03	1.02E+03	7.45E+08	8.92E+03	4.70E+03	5.64E+03	1.75E+03	3.77E+04	2.08E+03	1.67E+08	3.63E+01	1.44E+05	1.45E+03	5.03E+05	7.17E+03	2.43E+03	4.71E+03	1.37E+04	2.60E+04	2.76E+04
AB006782_at	Galectin-9 isoform	9.87E+05	9.39E-02	9.75E+01	2.19E+01	9.87E+04	1.68E-01	4.77E+02	8.27E-02	2.42E+04	1.10E-01	9.91E-02	1.98E+02	4.84E+00	2.52E-01	2.27E+00	2.58E+00	1.69E+03	4.78E-02	3.64E+00	5.35E+01	1.27E+03	2.59E-01	1.06E-01	1.55E-01	1.05E-01	1.96E+00	4.28E-01	4.14E-02	7.06E-02	1.10E+02	3.01E-01	2.74E-02	1.36E-01	9.82E-02	2.03E-01	3.15E-02	1.11E-01	3.26E-01	1.70E+01	1.08E+00	1.84E+02	1.14E+00
AC000061_cds2_at	WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2	3.56E+03	1.08E+07	1.09E+04	1.05E+05	2.69E+03	4.47E+02	1.56E+03	8.82E+00	1.61E+05	1.74E+00	5.80E-02	3.17E+02	3.18E+02	1.18E+02	1.03E+02	9.67E+00	8.35E-01	1.02E+02	1.08E+01	3.03E+04	1.36E+03	2.75E+01	8.73E-01	9.18E+00	2.81E+00	6.47E+03	1.41E+01	4.14E+01	3.53E+00	1.09E+03	4.45E+02	5.79E+01	6.45E+00	8.78E+01	2.80E-01	7.86E+01	8.03E+03	7.66E+01	3.69E+03	2.33E+04	2.03E+06	1.68E+08
AC000061_cds3_at	WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2	5.50E+03	5.99E+04	5.50E+04	2.59E+05	1.47E+05	1.71E+06	3.20E+04	4.30E+04	2.17E+04	1.09E+04	9.43E+03	1.92E+04	1.07E+05	2.56E+05	1.12E+04	5.51E+05	3.31E+01	3.83E+03	2.52E+04	4.13E+04	5.06E+05	1.12E+04	1.78E+05	3.13E+04	2.56E+04	2.36E+05	1.54E+05	3.36E+04	1.47E+04	1.51E+04	4.64E+05	1.66E+05	3.64E+04	1.01E+04	8.80E+04	1.83E+05	8.63E+03	1.05E+04	1.78E+04	1.87E+03	2.37E+04	1.87E+04
AC000062_at	"PAC clone 2G3A from 13q12-13q13, complete sequence"	1.53E+04	1.11E+03	3.94E+04	4.57E+03	6.45E+03	6.38E+03	8.85E+03	9.12E+03	2.85E+05	2.79E+04	4.33E+03	5.67E+01	6.89E+04	3.18E+04	2.71E+04	5.22E+03	2.87E+00	4.27E+03	1.31E+03	1.83E+03	1.76E+04	3.70E+04	1.27E+04	6.95E+03	5.30E+04	5.79E+03	1.68E+03	3.47E+05	5.90E+03	1.01E+03	9.08E+03	5.31E+04	2.43E+03	2.99E+04	3.11E+04	1.69E+04	1.97E+04	5.14E+04	6.84E+03	3.23E+03	2.54E+06	4.41E+03
AC000063_s_at	Clone lambda 5 semaphorin mRNA	9.05E+05	3.20E+04	3.88E+04	1.80E+04	3.65E+03	3.91E+04	3.27E+05	3.04E+03	1.92E+05	2.47E+03	8.87E+02	1.77E+04	1.21E+03	1.52E+04	9.15E+04	4.51E+04	1.46E+03	1.67E+03	8.46E-02	8.39E+03	4.87E+03	3.15E+04	1.22E+04	6.81E+05	2.44E+04	2.94E+05	7.66E+04	1.51E+04	3.48E+05	7.08E+03	1.44E+05	1.96E+04	8.40E+03	7.37E+04	2.22E+03	2.33E+04	6.66E+03	1.98E+03	1.74E+04	9.68E+06	1.49E+04	4.64E+04
AC000064_cds1_at	WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22	1.63E+03	1.83E+01	4.52E+02	3.23E+03	9.39E+00	5.77E-02	2.13E-02	7.47E-03	1.16E+05	7.43E-02	5.24E+01	2.11E+03	4.77E-02	1.77E-01	3.75E-02	3.02E-02	2.24E+03	1.10E-02	2.19E-02	2.42E-02	4.41E-02	3.11E-02	5.27E-02	1.32E+00	1.07E-01	1.23E-01	5.08E-02	2.60E-02	6.76E-02	1.11E-01	3.44E-01	6.53E-03	3.58E-03	2.31E-02	6.87E-03	5.88E-03	2.89E+02	3.61E-02	2.51E-02	9.68E-02	1.32E+03	3.75E-01
AC000064_cds2_at	WUGSC:H_RG083M05.1 gene extracted from Human BAC clone RG083M05 from 7q21-7q22	5.76E+03	8.17E+03	3.61E+01	2.59E+04	1.50E+03	4.68E+01	1.44E-01	5.51E-02	3.71E+03	6.81E-02	5.98E-02	5.77E+02	2.29E+00	9.49E+01	2.12E-01	2.17E+00	8.68E-02	6.16E+00	5.83E-02	6.87E-02	3.26E-01	3.89E-02	2.46E+01	5.99E+03	2.19E+01	1.71E+02	7.04E+01	2.10E+01	5.36E+00	1.74E+02	8.13E+00	4.28E-02	5.02E-02	7.86E-02	6.50E-02	2.55E-02	2.32E+03	4.44E+01	3.58E+02	5.92E+01	1.80E+04	1.26E+02
AC000066_at	"BAC clone RG293F11 from 7q21-7q22, complete sequence"	3.93E+05	6.02E+03	2.37E+03	2.17E+04	5.10E+02	2.63E+05	2.84E+03	2.09E+04	5.59E+03	3.07E+03	5.62E+04	5.14E+02	7.87E+03	8.76E+03	4.60E+04	1.43E+05	3.30E+03	2.45E+05	4.21E+02	9.04E+01	1.87E+07	9.10E+03	2.24E+03	9.75E+03	7.65E+03	5.61E+04	5.69E+04	1.20E+05	2.15E+04	4.86E+05	3.40E+03	2.84E+05	1.03E+04	3.84E+04	4.56E+01	1.57E+02	3.49E+03	2.62E+03	1.07E+05	6.14E+04	1.26E+04	1.93E+06
AC000099_at	Metabotropic glutamate receptor 8 mRNA	1.54E+05	1.80E+04	2.14E+04	3.03E+05	7.47E+03	7.09E+01	2.67E+00	1.42E+01	1.51E+05	1.47E+00	3.01E+02	1.37E+03	5.95E+01	4.05E+02	6.13E+01	2.05E+05	1.70E+04	1.85E+01	7.84E+02	1.50E-01	1.41E+04	2.91E+01	4.41E+03	2.70E+02	3.08E+04	3.30E+02	5.77E+02	5.07E+03	1.21E+02	1.98E+02	1.25E+03	1.80E+04	1.69E+02	7.30E+02	3.15E+00	1.86E+02	3.42E+02	7.06E+02	5.59E+04	1.43E+05	3.56E+04	3.07E+03
AC000115_cds1_at	WUGSC:H_GS188P18.1a gene extracted from Human BAC clone GS188P18	3.44E+05	4.08E+04	1.83E+06	5.35E+04	1.25E+07	4.49E+05	2.43E+06	1.03E+04	3.57E+04	7.63E+05	2.05E+05	5.07E+05	9.21E+05	2.15E+04	9.13E+04	2.09E+04	2.17E+05	2.61E+04	1.41E+05	7.78E+04	7.20E+03	1.28E+05	2.10E+07	5.94E+05	2.96E+05	1.22E+05	2.14E+05	5.99E+04	1.63E+05	1.67E+06	4.95E+03	2.20E+07	2.66E+05	3.31E+04	1.87E+05	1.39E+06	5.97E+04	9.69E+03	2.37E+05	1.08E+04	1.50E+05	6.03E+05
AC002045_xpt1_at	"A-589H1.1 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA"	2.96E+05	5.65E+02	1.60E+00	3.70E+03	5.99E+02	1.13E+00	2.91E+03	2.11E-02	2.20E+03	1.45E-02	2.49E-02	1.36E+04	3.44E-01	4.92E-02	1.35E-01	1.65E-02	7.04E-01	1.17E-02	1.44E-01	4.09E-01	5.89E-02	1.70E-02	5.45E-02	1.06E+02	2.35E-01	2.58E+03	9.85E-02	1.34E-02	6.79E-02	8.89E-01	1.10E+06	6.82E-03	5.09E-03	5.19E-03	1.13E-02	1.06E-02	2.90E-01	1.60E-02	8.08E-02	1.04E-01	4.54E+01	3.63E-02
AC002045_xpt2_s_at	"A-589H1.2 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA"	4.22E-02	6.98E-02	9.69E-03	1.11E+05	8.35E-02	1.84E-02	1.57E-02	5.73E-03	2.23E+04	2.82E-03	3.11E-03	4.66E-02	8.69E-03	2.72E-02	7.76E-03	3.15E-03	1.02E-02	2.44E-03	1.78E-02	1.02E-02	1.37E-02	4.28E-03	5.36E-03	3.44E-02	1.54E-02	1.36E-02	1.43E-02	1.11E-02	8.42E-03	7.91E-03	1.38E-02	5.97E-03	2.08E-03	3.95E-03	6.80E-03	4.64E-03	1.41E-02	7.83E-03	1.16E-02	1.42E-02	1.80E-02	1.58E-02
AC002073_cds1_at	WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22	5.14E+03	7.07E+02	8.92E+03	3.43E+04	6.86E+03	5.50E+03	1.01E+04	1.92E+00	4.76E+03	2.82E+03	8.95E+04	5.83E+03	2.88E+03	4.11E+04	7.88E+02	8.48E+02	2.86E+07	1.14E+04	5.45E+03	2.08E+03	8.21E+03	3.74E+06	2.16E+04	6.27E+02	2.21E+04	1.63E+04	3.58E+06	4.95E+04	5.53E+07	4.94E+02	9.86E+03	5.33E+03	3.67E+00	6.68E+03	1.28E-01	2.17E+02	1.81E+04	1.25E+04	3.37E+03	5.39E+05	1.22E+04	2.69E+04
AC002076_cds2_at	WUGSC:GS345D13.2 gene (G-protein gamma-1 subunit) extracted from Human BAC clone GS345D13 from 7q31-q32	1.61E+03	8.04E+03	7.74E+03	3.38E+04	1.71E+01	1.00E+04	1.14E+04	1.86E+04	1.01E+04	5.84E+04	5.02E+02	4.19E+02	7.11E+01	6.25E+03	4.49E+04	9.19E+03	1.23E+05	3.17E+04	1.78E+02	3.26E+05	2.40E+05	1.95E+03	9.19E+03	2.86E+03	1.34E+03	6.07E+04	2.17E+03	7.25E+02	6.46E+02	1.44E+03	4.67E+03	6.92E+03	3.45E+02	5.98E+02	7.87E+03	2.80E+04	9.33E+04	5.87E+04	4.46E+03	3.55E+03	7.97E+04	8.78E+03
AC002077_at	"GUANINE NUCLEOTIDE-BINDING PROTEIN G(T), ALPHA-1 SUBUNIT"	1.43E+06	6.47E+03	1.06E+04	2.82E+04	7.14E+03	3.71E+04	7.65E+03	4.87E+04	2.58E+05	3.54E+03	1.32E+04	1.45E+08	8.60E+03	1.11E+04	6.39E+03	9.85E+04	1.25E+04	6.37E+02	7.93E+05	6.28E+03	1.53E+04	5.43E+04	1.50E+05	3.21E+03	5.88E+04	6.88E+05	5.77E+05	3.10E+04	1.07E+05	2.53E+04	1.20E+06	7.39E+02	2.91E+03	4.72E+04	4.55E+04	6.24E+01	2.66E+05	8.32E+04	4.29E+06	1.78E+05	3.31E+04	5.16E+03
AC002086_at	"PAC clone DJ525N14 from Xq23, complete sequence"	3.02E+02	1.26E+04	1.08E+04	1.84E+04	7.81E+04	1.08E+03	8.12E+02	9.02E-02	1.13E+06	4.68E+04	7.11E+05	2.50E+03	1.30E+06	3.41E+03	2.90E+02	4.36E+03	7.62E+04	7.01E+01	1.40E+02	8.77E+02	1.95E+05	5.91E+03	8.42E+02	3.73E+03	1.00E+03	9.26E+02	2.05E+03	6.36E+05	2.72E+04	2.88E+04	1.07E+04	9.09E-02	8.08E-02	1.08E+05	1.17E-01	6.13E+02	1.27E+03	5.73E+03	7.84E+01	2.35E+04	1.34E+04	4.78E-01
AC002115_cds1_at	"COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	1.51E+00	2.61E-02	1.02E-01	6.38E+02	6.17E-02	3.17E-01	4.33E-02	7.30E-02	1.09E+06	2.71E-02	5.56E-02	7.30E-02	1.56E-02	3.74E-02	3.87E-02	1.83E-02	1.18E-01	1.03E-02	1.56E-02	2.23E-01	4.64E-02	2.26E-02	8.68E-02	1.62E-01	1.40E-01	2.47E+01	1.30E-02	1.40E-02	2.54E-02	2.33E+01	3.20E+01	4.79E-03	3.34E-03	3.78E-03	4.55E-03	4.89E-03	2.34E-02	7.61E-03	1.77E-02	1.06E-02	8.28E-01	1.52E-01
AC002115_cds3_at	"F25451_3 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	6.78E+05	7.21E+03	2.20E+03	5.86E+05	3.09E+04	3.42E+02	1.85E+00	3.82E+00	6.77E+02	9.94E+03	5.88E+03	5.32E+03	1.06E+01	1.52E+03	9.13E+02	9.82E+03	1.16E+04	4.78E+00	5.22E+01	2.48E+03	8.95E+02	2.37E+02	8.00E-01	5.04E+00	1.09E+01	1.19E+03	3.19E+03	3.14E+02	1.10E+01	6.94E+05	4.21E+01	3.12E+01	1.12E+00	1.33E+04	2.72E+01	5.22E-01	7.34E+03	1.86E+05	9.15E+02	3.89E+06	5.70E+04	6.78E+03
AC002115_cds4_at	"UPKA gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	8.23E+04	3.96E+04	2.62E+04	3.28E+05	3.54E+05	2.49E+06	7.99E+04	3.18E+06	3.40E+04	1.12E+05	4.57E+04	3.03E+04	3.79E+06	9.95E+04	2.94E+04	4.38E+04	7.11E+06	2.30E+07	6.37E+06	3.11E+05	1.81E+04	7.37E+07	1.24E+04	7.37E+04	1.81E+04	8.07E+04	5.76E+04	4.29E+04	6.07E+04	9.87E+04	9.93E+04	1.35E+05	3.29E+04	1.57E+07	6.23E+05	2.64E+04	1.66E+05	5.47E+07	1.05E+05	7.07E+05	3.79E+09	8.79E+04
AC002115_rna2_at	"F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	1.89E+06	4.49E+05	1.10E+04	8.75E+03	2.93E+03	9.89E+02	5.50E-01	3.82E-01	3.21E+04	5.40E+04	6.46E+03	3.07E+04	1.38E-01	4.07E+00	1.42E+00	1.40E-01	1.99E+03	6.77E-02	1.41E-01	4.18E+02	2.06E+01	2.56E-01	8.99E+03	7.18E+01	8.30E+03	6.22E+02	7.27E-02	3.38E-01	5.32E+02	5.81E+03	6.59E+03	1.22E-02	3.16E-02	1.87E-02	1.70E-02	1.58E-02	2.40E+03	1.10E-01	1.89E+00	5.73E-02	6.40E+02	2.00E+03
AC002450_at	"BAC clone GS244B22 from 7q21-q22, complete sequence"	2.97E+04	1.36E+05	2.99E+03	5.78E+04	1.02E+05	2.81E+04	7.37E+02	7.62E+02	2.03E+04	3.79E+11	1.01E+05	2.25E+04	3.41E+03	1.11E+04	3.03E+03	3.26E+05	1.08E+05	1.20E+03	1.67E+04	5.25E+03	7.81E+03	2.18E+02	1.64E+03	6.10E+03	8.43E+04	2.23E+03	6.71E+03	9.81E+02	8.82E+03	3.63E+03	1.39E+05	2.47E+04	2.69E+04	7.19E+06	2.63E-01	2.76E-02	6.51E+05	5.64E+05	1.63E+07	4.73E+02	9.94E+05	1.94E+04
AC002464_at	"BAC clone RG331P03, complete sequence"	6.15E+03	3.87E+06	1.35E+05	6.17E+04	5.78E+04	6.77E+04	7.40E+04	8.91E+04	1.52E+07	1.10E+05	1.15E+05	9.22E+04	9.90E+03	5.92E+04	1.65E+04	1.68E+05	2.86E+06	6.24E+05	6.78E+05	6.65E+04	9.19E+03	6.51E+05	2.43E+05	8.81E+04	9.62E+04	7.89E+05	1.30E+05	2.67E+05	5.23E+04	2.92E+07	7.06E+03	2.75E+05	1.59E+05	2.06E+04	7.24E+04	9.93E+04	3.43E+06	4.27E+05	4.66E+04	2.99E+06	2.16E+04	1.32E+05
AC002477_s_at	"PAC clone DJ327A19 from Xq25-q26, complete sequence"	3.63E+04	4.69E-01	1.39E+00	2.61E+03	5.85E+02	5.70E+00	2.15E+00	7.27E-01	2.15E+03	5.36E-02	2.95E+00	1.27E+04	4.68E-02	1.65E+03	2.07E-01	6.73E-02	1.08E+02	5.69E-02	4.65E-02	5.14E-01	5.19E-01	1.40E-01	7.65E-02	7.89E+01	1.10E+02	1.16E+01	7.39E+00	3.98E+00	2.27E+01	3.36E-01	4.92E+00	6.60E-02	2.03E-02	2.85E-01	2.40E-02	3.34E-02	1.28E+02	7.98E-02	1.06E-01	1.19E-01	3.13E+03	3.02E+01
AC002486_at	"BAC clone RG367O17 from 7p15-p21, complete sequence"	3.53E+03	7.72E+01	5.67E+02	6.45E+03	1.92E+03	7.45E+00	1.60E+03	2.74E+01	5.73E+04	6.22E+02	7.00E-01	1.62E+03	1.32E+01	6.51E+02	2.08E+02	1.62E+02	1.48E+00	4.81E-01	1.91E-01	2.57E+05	2.84E+03	9.62E-02	1.99E+01	5.63E+00	9.55E+00	1.99E+02	6.93E+05	1.36E+01	4.24E+00	6.35E+00	2.91E+02	1.71E-01	1.67E+01	6.93E-01	4.41E-01	1.21E-01	1.86E+02	3.61E+02	2.67E+03	6.23E+03	2.11E+04	1.26E+05
AD000092_cds1_at	"Hypothetical human serine-threonine protein kinase R31240_1 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence"	3.85E+03	2.64E+03	1.39E+01	5.63E+04	1.88E-01	2.14E+01	6.42E-02	3.29E+00	5.55E+04	5.55E-02	5.44E-02	7.95E-02	4.33E-01	9.12E-02	3.33E-01	1.59E-01	1.67E+01	8.87E-02	8.93E-02	2.34E-01	4.01E+03	9.26E-02	2.12E-01	1.48E+00	4.42E+01	1.61E+01	2.60E+00	1.63E+04	4.79E+00	1.92E+02	1.43E+01	3.34E-01	6.32E-01	3.65E+00	1.03E+02	8.15E+00	3.21E+04	5.14E+01	1.33E+01	5.51E+02	2.54E+02	2.67E+02
AD000092_cds2_at	"Hypothetical human protein R31240_2 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence"	2.78E+05	2.35E+06	1.07E+06	3.99E+04	5.40E+04	1.37E+06	2.83E+04	1.78E+05	3.68E+04	7.59E+04	2.46E+05	1.97E+05	9.75E-02	1.83E+05	1.70E+02	3.44E+05	1.33E+04	3.26E+03	1.72E+05	6.48E+03	3.60E+05	1.25E+03	2.92E+04	2.54E+04	1.32E+05	5.49E+03	1.88E+02	3.14E+02	4.18E+04	3.86E+05	3.21E+04	4.23E-02	3.48E-02	9.22E+03	1.90E-02	1.89E-02	6.26E+04	4.88E+02	1.65E-01	1.21E+00	5.82E+04	1.96E+04
AD000092_cds7_s_at	"RAD23A gene (human RAD23A homolog) extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence"	3.47E+04	5.27E+05	6.93E+04	1.42E+05	9.72E+05	4.49E+03	1.18E+05	6.44E+03	2.68E+05	1.30E+05	5.87E+04	2.48E+04	1.69E-01	5.15E+03	1.52E+04	5.01E+03	4.17E+06	3.81E+01	1.97E+02	6.01E+04	1.12E+03	1.03E+05	2.88E+03	1.21E+04	1.04E+04	7.28E+06	1.19E+03	6.16E+01	1.52E+03	7.68E+03	4.64E+04	4.85E-01	2.94E-02	1.13E+02	4.99E-02	4.67E-02	3.25E+03	1.98E+01	1.45E+03	2.15E+02	1.81E+05	2.05E+04
AD000684_cds1_at	"LISCH7 gene (liver-specific bHLH-Zip transcription factor) extracted from Homo sapiens DNA from chromosome 19-cosmid R30879 containing USF2, genomic sequence"	6.77E+04	2.13E+05	2.23E+04	4.84E+05	1.70E+05	5.29E+02	1.89E+04	4.21E+03	3.11E+06	1.22E+06	1.75E+05	9.24E+03	2.74E+02	1.36E+06	1.91E+04	3.10E+04	1.20E+02	4.26E+03	1.59E+05	9.45E+06	2.80E+04	7.94E+03	1.02E+04	1.35E+04	2.68E+04	2.75E+04	4.13E+04	1.74E+04	2.96E+08	6.51E+04	6.92E+03	8.74E+04	7.35E-02	2.08E+01	1.21E-02	5.34E+04	2.22E+04	4.44E+03	2.54E+04	8.44E-01	6.69E+06	2.36E+05
AD001527_cds1_at	"Comment for location 3447-3655: BLASTX gi|103290|pir||S16356 ovo protein - fruit fly (Drosophila melanogaster), PVal= 3.8e-47 gene extracted from Homo sapiens DNA from chromosome 19-cosmid f24590 containing CAPNS and POL2RI, genomic sequence"	7.01E+03	1.49E+05	1.96E+05	1.03E+03	9.98E+01	1.04E+00	3.51E+01	7.05E+03	4.81E+03	1.23E-01	1.90E+03	6.14E+04	1.54E+03	3.72E+03	2.38E+04	2.79E+02	7.41E+00	1.79E+02	8.12E+02	2.17E+04	5.83E+03	9.90E+01	3.82E+03	2.77E+03	2.34E+05	2.72E+04	1.89E+02	1.27E+05	1.63E+07	3.06E+04	9.11E+03	3.71E+00	1.37E-01	9.03E+01	1.80E+01	1.66E+00	2.74E+05	4.27E+05	9.55E+04	1.65E+04	9.87E+06	6.00E+03
AF000177_at	Sm-like protein CaSm (CaSm) mRNA	4.26E+01	1.96E+00	5.51E+03	9.83E+02	5.66E+00	6.54E+01	4.82E+02	4.28E-02	2.96E+04	1.34E-01	1.20E+04	1.80E+06	3.45E-02	2.61E+00	4.29E+01	5.95E-02	5.34E+03	6.78E-02	5.60E-02	1.09E+04	3.26E+00	8.40E+00	1.36E+00	8.36E+00	1.34E+04	2.98E+04	1.45E-01	6.26E-02	1.41E-01	7.99E+03	8.01E+01	1.38E-02	6.52E-03	1.60E-02	1.83E-02	1.45E-02	1.24E+03	5.32E-02	1.44E-01	4.36E-02	2.03E+03	4.16E+00
AF000231_at	RAS-RELATED PROTEIN RAB-11A	2.33E+03	1.71E+03	5.12E+03	2.97E+05	2.88E+04	1.95E+03	4.68E+02	2.73E-01	2.67E+05	4.94E-01	4.60E+02	1.08E+04	1.49E-01	5.28E+01	7.17E-02	8.92E-01	7.70E+04	1.41E-01	2.06E+02	5.02E-02	1.74E+05	4.71E-01	2.09E+01	3.42E+03	6.48E+02	4.29E+01	1.76E-01	2.67E+02	2.90E+01	4.30E+01	1.01E+05	1.83E-02	1.55E-02	4.19E-02	4.39E-03	1.99E-02	3.23E+03	5.05E-02	1.01E-01	7.47E-02	2.46E+04	1.09E-01
AF000234_at	P2x purinoceptor mRNA	4.99E+05	1.93E+04	1.35E+04	3.11E+04	1.21E+06	1.68E+04	1.74E+04	2.64E+05	3.55E+04	1.30E+05	2.17E+03	1.14E+04	1.57E+04	3.13E+06	1.76E+04	1.06E+04	2.88E+04	1.15E+04	4.12E+04	8.18E+04	1.18E+04	8.48E+04	4.43E+06	1.70E+05	1.06E+06	3.85E+04	1.95E+04	9.77E+03	2.21E+04	2.56E+04	3.37E+04	5.48E+05	2.07E+04	2.42E+04	3.85E-01	5.64E+03	4.58E+04	9.09E+03	2.24E+04	6.14E+03	1.54E+06	1.21E+04
AF000424_s_at	"LST1 mRNA, cLST1/E splice variant"	6.76E+06	1.08E+05	3.36E+04	3.29E+04	3.47E+05	9.01E+05	1.94E+05	5.25E+04	3.54E+04	1.82E+05	2.04E+05	1.78E+05	1.84E+04	1.51E+06	1.07E+05	3.92E+06	2.58E+04	6.06E+04	2.56E+04	9.69E+05	5.36E+05	5.51E+05	1.84E+04	8.34E+04	3.96E+05	4.36E+07	6.37E+04	2.62E+06	3.16E+05	2.62E+07	3.35E+04	5.96E+04	1.67E+08	1.88E+04	1.38E+05	1.34E+06	4.72E+04	2.88E+07	4.92E+04	3.71E+05	5.93E+05	6.00E+05
AF000430_at	Dynamin-like protein mRNA	5.77E+03	3.94E+04	9.50E+06	9.94E+05	5.19E+04	1.61E+04	4.27E+04	7.68E-02	1.85E+04	3.80E+03	5.80E+05	4.73E+04	4.97E+00	4.03E+04	1.43E+04	1.29E+04	7.32E+03	3.58E+06	1.64E+03	1.11E-01	3.19E+06	1.05E+04	1.78E+04	2.71E+04	2.70E+05	1.53E+03	2.06E+04	2.75E+04	2.69E+04	9.99E+06	2.17E+05	1.48E+01	1.41E-02	1.45E-01	8.30E-02	7.46E-02	2.62E+04	4.15E+01	1.17E+04	4.26E+02	2.01E+05	1.21E+05
AF000545_at	Putative purinergic receptor P2Y10 gene	7.31E+03	2.17E+05	7.23E+04	2.30E+03	1.37E+04	1.25E+07	2.84E+04	1.25E+02	3.89E+04	2.18E-01	6.78E+04	4.40E+01	9.86E+03	2.47E+02	1.86E+03	3.37E+03	8.95E+04	2.21E+00	5.91E+03	1.34E+03	1.36E+05	5.33E+03	6.28E+04	1.43E+03	1.97E+05	1.07E+05	1.26E+03	4.43E+04	2.14E+01	8.82E+02	5.14E+06	7.00E+02	3.22E-01	9.46E+00	2.41E+02	1.51E+01	1.06E+05	3.44E+04	1.86E+05	1.45E+03	5.20E+03	6.35E+03
