Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
AFFX-M27830_M_at (endogenous control)	AFFX-M27830_M_at	8376	A	22949	A	6106	A	14381	A	3513	A	10264	P	7588	A	1169	A	5521	A	3299	A	20843	A	13788	A	10354	A	15304	A	11989	A	1063	A	5437	A	8708	A	16077	A	13865	A	919	A	2022	P	685	A	464	A	684	A	9900	A	1444	A	3287	A	2255	A	11888	A	904	A	6414	P	3471	A	9488	A	667	A	1437	A	27975	A	30153	A	713	A	19478	P	22751	A	7375	A
AFFX-M27830_3_at (endogenous control)	AFFX-M27830_3_at	905	A	1482	A	834	A	608	A	773	A	1401	A	469	A	2009	A	270	A	641	A	1425	A	1895	A	1997	A	2355	A	899	A	932	A	859	A	1340	A	2843	A	1875	A	927	A	1577	A	613	A	962	A	1031	A	459	A	783	A	319	A	646	A	1098	A	1250	A	-450	A	2077	A	1622	A	-273	A	-12	A	-57	A	1629	A	738	A	1796	A	52	A	-55	A
AFFX-HSAC07/X00351_3_st (endogenous control)	AFFX-HSAC07/X00351_3_st	2113	P	3599	P	2463	P	1780	P	1013	P	2956	P	1548	P	3927	P	2303	P	1379	P	1790	P	5698	P	3735	P	5219	P	2193	P	1412	P	2252	P	2522	P	3353	P	2204	P	529	P	369	P	479	P	696	P	453	P	2292	P	435	P	255	P	517	P	2787	P	995	P	7676	P	3564	P	6250	P	282	A	583	P	3577	P	3517	P	678	A	5223	P	4300	P	2864	P
AFFX-HUMGAPDH/M33197_5_st (endogenous control)	AFFX-HUMGAPDH/M33197_5_st	319	P	92	A	92	A	143	A	-43	A	296	A	-109	A	116	A	377	P	-41	A	308	A	1027	P	-149	A	962	A	121	A	36	A	360	A	526	P	396	A	51	A	-98	A	-50	A	-79	A	-325	A	-492	A	-311	A	-69	A	-44	A	29	A	-290	A	-297	A	-892	A	144	A	-479	A	17	A	-51	A	394	A	621	A	-321	A	101	A	11	A	201	A
AFFX-HUMGAPDH/M33197_M_st (endogenous control)	AFFX-HUMGAPDH/M33197_M_st	479	A	920	P	517	P	492	P	673	A	837	P	329	A	659	A	396	P	427	P	638	P	1841	P	852	P	938	P	731	P	582	P	276	P	712	P	998	P	1123	P	54	A	89	A	42	A	225	A	207	A	35	A	262	A	221	M	184	A	60	A	388	A	-16	A	1269	M	1077	A	255	A	128	A	413	A	822	P	307	A	627	P	-274	A	358	A
AFFX-HUMGAPDH/M33197_3_st (endogenous control)	AFFX-HUMGAPDH/M33197_3_st	511	P	1307	P	653	P	457	P	630	P	1189	P	618	P	1006	P	850	P	398	P	911	P	1841	P	770	P	1859	P	498	P	396	P	886	P	904	P	1503	P	465	P	292	P	55	M	84	P	54	P	220	A	426	P	146	A	136	A	98	P	701	P	431	A	3038	P	1574	P	3208	P	-76	A	262	A	384	A	994	P	188	A	1173	P	1266	P	553	P
AFFX-HSAC07/X00351_5_st (endogenous control)	AFFX-HSAC07/X00351_5_st	4	A	410	A	-29	A	424	P	-57	A	552	A	52	A	-832	A	295	A	-125	A	45	A	1409	A	149	A	667	A	64	A	-535	A	238	A	898	P	580	A	-42	A	-336	A	-261	A	-329	A	-311	A	-395	A	-105	A	-249	A	-213	A	-199	A	-391	A	-497	A	-1302	A	-352	A	-1254	A	-268	A	-72	A	711	A	98	A	-421	A	563	A	332	A	236	A
AFFX-HSAC07/X00351_M_st (endogenous control)	AFFX-HSAC07/X00351_M_st	659	P	1751	P	740	P	1000	P	1018	P	1455	P	962	P	960	P	892	P	1187	P	1786	A	2545	P	2276	A	1924	P	1360	A	422	A	947	P	1236	P	3342	P	2035	P	362	A	261	A	200	A	311	M	-25	A	622	A	335	A	353	P	206	A	175	A	224	A	1808	A	2087	P	2056	P	170	A	339	A	2461	P	1389	P	421	A	1419	P	2748	P	781	P
GABAa receptor alpha-3 subunit	A28102_at	278	A	512	P	215	P	290	M	600	A	653	P	286	P	358	P	117	A	241	M	951	M	382	A	799	P	200	A	768	A	1241	P	153	A	255	M	1106	P	531	A	49	A	156	A	231	A	183	A	111	A	81	A	-24	A	53	A	2	A	371	A	534	A	1543	A	54	A	157	M	456	A	334	A	884	A	343	P	1139	A	496	A	2089	P	938	A
Osteomodulin	AB000114_at	-2	A	162	A	9	A	77	P	335	A	517	P	0	A	184	A	35	A	37	A	29	A	-710	A	24	A	165	A	-74	A	1336	P	47	A	48	A	-48	A	75	A	-108	A	31	A	221	P	10	A	-314	A	105	M	21	A	7	A	20	A	75	A	-176	A	418	A	3	A	-321	A	94	A	99	A	490	A	16	A	-24	A	384	A	262	A	49	A
mRNA	AB000115_at	161	A	297	A	336	P	170	P	869	P	386	P	299	P	464	P	183	P	224	P	162	A	-38	A	1545	P	460	M	617	P	3466	P	2225	P	827	P	477	P	159	A	1876	P	5909	P	449	P	2959	P	477	P	462	P	781	P	230	P	150	P	561	P	376	A	1350	P	567	A	512	A	76	A	607	P	2029	P	335	P	515	A	357	A	1347	M	291	A
Semaphorin E	AB000220_at	173	P	486	P	55	P	103	P	260	P	535	P	268	P	216	P	85	P	169	P	40	A	278	P	341	P	838	P	299	P	1438	P	186	P	1121	P	618	P	150	A	225	P	2034	P	297	P	92	M	164	P	3173	P	2424	P	396	P	270	P	310	P	558	A	1278	P	346	P	295	P	483	P	136	A	173	A	773	P	292	A	4109	P	2818	P	410	P
MNK1	AB000409_at	3	A	-56	P	246	P	135	P	317	P	-39	P	9	P	-3	A	69	P	-260	A	-493	A	-726	A	178	P	-702	A	-153	P	1624	P	-117	P	93	P	-634	A	-484	A	871	P	532	P	663	P	336	P	215	P	1149	P	304	P	280	P	366	P	877	P	382	A	450	P	12	P	-180	A	-349	A	138	A	-38	A	275	P	217	A	119	P	250	A	-61	A
VRK1	AB000449_at	133	A	120	A	66	A	32	A	127	A	313	P	211	A	113	A	135	A	48	M	45	A	125	A	52	A	147	A	-12	A	768	A	150	A	131	A	65	A	-18	A	161	A	140	P	711	P	260	P	138	A	23	A	269	P	92	A	288	P	205	A	30	A	964	P	163	A	114	A	62	A	122	A	336	A	57	A	217	A	359	A	227	A	2	A
VRK2	AB000450_at	170	P	125	A	75	A	32	A	248	A	318	P	100	A	46	A	135	P	103	P	-15	A	551	A	255	A	-17	A	374	A	801	P	236	P	82	A	412	A	272	A	328	P	386	P	443	P	636	P	215	A	256	P	350	P	209	P	273	P	300	P	176	A	1559	A	320	A	315	A	241	A	295	P	1077	P	722	P	262	A	57	A	1161	A	740	A
"mRNA, clone RES4-22A"	AB000460_at	1360	P	2806	P	1764	P	1595	P	1999	P	2567	P	2047	P	2949	P	1611	P	3710	P	5266	P	4944	P	5338	P	4882	P	5595	P	3754	P	4100	P	2479	P	6516	P	5461	P	4326	P	3248	P	4496	P	4019	P	3978	P	1794	P	2893	P	2812	P	2003	P	3264	P	4468	P	8754	P	4606	P	5593	P	3001	P	3112	P	4519	P	4702	P	2501	P	4099	P	6599	P	4671	P
"SH3 binding protein, clone RES4-23A"	AB000462_at	114	A	-179	A	-64	A	-34	A	378	P	-110	A	1	A	-35	A	87	A	96	A	-430	A	76	A	9	A	17	A	163	A	946	P	90	A	70	A	-5	A	-173	A	109	A	56	A	155	A	186	A	-15	A	62	A	174	A	163	P	18	A	315	P	-97	A	884	A	57	A	381	A	-116	A	105	A	48	A	1013	P	59	A	-243	A	-110	A	-58	A
"mRNA, clone RES4-24A, exon 1, 2, 3, 4"	AB000464_at	379	P	651	P	270	P	444	P	1232	P	480	P	263	P	1506	P	510	P	1278	P	926	P	2562	P	2012	P	1865	P	2379	P	1471	P	1591	P	1020	P	2083	P	1936	P	426	P	313	P	361	P	606	P	702	P	426	A	105	A	272	P	156	A	611	P	1104	P	5289	P	3699	P	3317	P	604	P	508	A	1413	A	999	P	782	A	2059	P	2742	A	1789	P
"mRNA, clone RES4-24C, exon 1, 2, 3"	AB000466_at	-573	A	-1012	A	-316	A	-495	A	-198	A	-1112	A	-651	A	-1488	A	-478	A	-1165	A	-2947	A	-3163	A	-1660	A	-1623	A	-3932	A	-895	A	-1377	A	-872	A	-2441	A	-2552	A	-829	A	-365	A	-498	A	-1239	A	-1067	A	-388	A	-664	A	-549	A	-289	A	-1002	A	-1918	A	-2299	A	-1583	A	-4092	A	-887	A	-854	A	-1836	A	-1343	A	-847	A	-1198	A	-3308	A	-2765	A
"mRNA, clone RES4-25, partial cds"	AB000467_at	-287	A	-1173	A	-701	A	-326	A	643	A	-463	A	-252	M	-2151	A	-313	A	-1804	A	-2492	A	-2059	A	-1660	M	-1287	A	-3065	A	0	A	-1447	A	-534	A	-2040	A	-1522	A	-734	A	-113	M	-579	A	-774	A	-215	A	-397	A	-251	A	-140	A	104	P	-892	A	-843	A	-4091	A	-3183	A	-5826	A	-551	A	-752	A	-3231	A	-1190	A	-435	A	-1354	A	-2690	A	-2016	A
"Zinc finger protein, clone RES4-26"	AB000468_at	1035	P	370	A	880	P	392	A	1769	P	901	P	1829	P	2360	P	458	P	615	P	-20	P	174	P	-91	M	738	P	1122	P	4257	P	1116	P	1135	P	775	P	117	P	2240	P	1469	P	2450	P	3760	P	1788	P	800	P	1215	P	1703	P	1578	P	496	A	2458	P	2926	P	849	P	830	P	945	P	2115	P	-57	A	419	P	1312	P	590	P	1347	P	775	P
Prostate differentiation factor mRNA	AB000584_at	172	A	-115	A	193	A	-23	A	1267	P	261	A	145	A	-698	A	261	P	212	M	-221	A	-1152	A	389	A	-767	A	-12	A	517	M	1557	P	1277	P	-43	A	324	A	-68	A	1577	P	726	P	3566	P	4112	P	-98	A	418	P	569	P	2006	P	556	A	-376	A	385	A	-1118	A	-765	A	-389	A	2208	P	-1105	A	1092	P	505	A	414	A	-1505	A	999	P
"Cadherin FIB1, partial cds"	AB000895_at	-279	A	-1140	A	-432	A	-354	A	1508	A	-1073	A	-1266	A	329	A	-378	A	-1329	A	-302	A	-2502	A	-1848	A	-490	A	-1776	A	746	A	-18	A	1008	A	-3163	A	-2758	A	473	A	183	A	-202	A	126	A	-579	A	-318	A	-408	A	488	A	115	A	-1343	A	-941	A	-1897	A	-2616	A	-1162	A	-1361	A	-725	A	-3442	A	-588	A	158	A	210	A	-4277	A	-1180	A
"Cadherin FIB2, partial cds"	AB000896_at	-60	A	4	A	141	A	-14	A	1036	P	203	A	-170	A	163	A	0	A	0	A	-338	A	-508	A	0	A	-247	A	-237	A	1365	P	13	A	-168	A	830	A	338	A	-65	A	93	M	-79	A	97	A	85	A	-165	A	-62	A	5	A	-69	A	250	A	303	A	96	A	-516	A	-397	A	-94	A	-219	A	153	A	-267	A	-64	A	-143	A	-297	A	93	A
"Cadherin FIB3, partial cds"	AB000897_at	-9	A	2	A	97	A	117	P	2502	P	-110	A	252	P	184	A	5	A	39	A	-63	A	-213	A	91	A	-106	A	-178	A	1325	P	-87	A	-80	A	803	P	-18	A	17	A	-17	A	17	A	-134	A	-87	A	-69	A	24	A	361	P	19	A	421	P	133	A	795	A	-157	A	-52	A	-107	A	-47	A	-259	A	-326	A	9	A	-69	A	320	A	145	A
DNA for H4 histone	AB000905_at	44	A	80	A	116	A	82	P	5627	P	184	A	97	A	329	P	64	A	195	P	171	A	376	A	264	M	247	A	121	A	844	P	254	A	22	A	390	A	235	A	149	P	210	A	127	P	143	P	108	A	119	A	74	A	128	P	94	P	330	P	376	A	2403	P	179	A	305	M	49	A	49	A	-240	A	190	A	188	A	245	A	70	A	107	A
GLIA MATURATION FACTOR BETA	AB001106_at	1273	P	439	P	1082	P	930	P	5086	P	875	P	1768	P	3891	P	526	P	1522	P	956	P	1819	P	2936	P	1546	P	1429	P	4035	P	2070	P	983	P	1074	P	474	P	2094	P	1497	P	1806	P	1967	P	2110	P	562	P	1124	P	1041	P	927	P	1133	P	1390	P	7041	P	3305	P	4220	P	318	A	361	P	153	A	1438	P	341	A	1305	P	1207	P	1532	P
AQP3 Aquaporin 3	AB001325_at	584	P	908	A	758	P	714	A	5387	P	786	P	920	P	2048	A	458	A	1603	P	1362	A	1699	P	2199	P	1871	P	2002	P	2086	P	1861	P	1046	P	3076	P	1593	P	1456	P	804	P	702	P	1119	A	1157	P	847	P	802	P	799	P	808	P	1188	P	1560	P	5289	P	2702	P	3406	P	1030	P	566	P	2009	P	2261	P	1362	P	1478	P	2707	P	2497	P
KIAA0316 gene	AB002314_at	26	A	129	A	138	P	5	A	6764	P	-48	A	97	A	1102	P	56	A	98	A	20	A	65	A	361	A	59	A	74	A	688	P	78	A	176	A	233	A	42	A	153	A	126	A	-55	A	13	A	183	A	-213	A	66	A	53	A	79	A	-135	A	-24	A	1278	A	141	A	1179	A	80	A	57	A	471	A	27	A	227	A	444	A	-262	A	20	A
KIAA0317 gene	AB002315_at	278	P	313	P	187	P	244	P	365	P	527	P	395	P	1495	P	192	P	564	P	757	P	704	A	645	A	596	P	1256	P	859	P	778	P	1317	P	580	A	423	A	1565	P	696	P	810	P	1282	P	697	P	318	P	675	P	397	P	472	P	767	P	576	M	8	A	432	P	1241	A	362	A	303	P	1202	A	1144	P	282	A	843	P	402	M	320	P
"KIAA0320 gene, partial cds"	AB002318_at	543	A	750	A	1416	A	967	A	1273	A	826	P	1421	P	2130	P	1113	A	2169	A	1039	A	3141	A	442	A	1281	A	2520	A	1900	P	546	A	1631	A	2995	A	2382	A	2306	A	1049	A	1149	P	1611	A	2104	A	876	A	1734	A	715	A	539	A	1398	A	2058	A	1864	A	3407	A	5074	A	882	A	1366	A	-211	A	1948	A	1832	A	2468	A	3075	A	1850	A
"KIAA0367 gene, partial cds"	AB002365_at	105	A	-40	A	766	P	147	P	-86	A	38	A	76	A	-56	A	-35	A	-66	A	1874	P	2917	P	3865	P	3371	P	2094	P	1682	P	1820	P	1346	P	7873	P	3543	P	451	P	28	P	2296	P	31	A	99	A	246	A	-71	A	242	P	342	P	-75	A	2507	P	4646	P	7607	P	6289	P	0	A	349	P	230	A	1117	P	-39	A	37	A	1668	P	1419	P
"KIAA0368 gene, partial cds"	AB002366_at	-17	A	101	A	193	A	77	M	-527	A	95	A	150	P	336	P	49	A	-26	A	214	A	196	A	216	A	194	M	-173	A	-120	A	63	A	-174	A	520	P	14	A	-18	A	33	A	77	A	137	P	-276	A	47	A	140	P	113	P	76	P	-471	A	346	A	-120	A	714	P	-443	A	241	A	47	A	48	A	89	A	-128	A	47	A	268	A	209	P
"KIAA0382 gene, partial cds"	AB002380_at	141	P	252	P	412	P	209	P	118	P	500	P	296	A	1612	P	394	P	137	A	1274	P	1371	P	1265	P	1759	P	1028	P	1190	P	1129	P	516	P	2257	P	658	P	1178	P	958	P	2479	P	749	P	921	P	388	P	868	P	657	P	698	P	737	P	1202	P	811	P	1391	P	1139	P	295	A	366	P	-298	A	2258	P	-24	A	1491	P	1756	P	442	A
KIAA0384 gene	AB002382_at	1097	P	2894	A	1165	P	1107	P	1527	A	2082	P	1053	A	2573	P	1175	P	2284	P	3092	P	4884	P	3677	A	4156	P	3697	P	4479	P	2617	P	1884	P	4796	P	3990	P	7258	P	2352	P	2373	P	6068	P	3628	P	1164	P	3192	P	2699	P	1975	P	992	A	1469	A	1953	A	3180	A	2029	A	1245	A	1087	P	1981	A	4146	P	1263	A	2920	A	1382	A	5044	P
SLC	AB002409_at	47	A	-158	A	11	A	-33	A	-262	A	-120	A	-123	A	56	A	19	A	-293	A	-4	A	-240	A	-293	A	82	A	-773	A	-203	A	-49	A	-38	A	-260	A	51	A	183	A	44	A	970	P	130	A	406	A	69	A	-172	A	-65	A	11	A	-275	A	200	A	-1302	A	-272	A	-361	A	-80	A	39	A	298	A	-32	A	158	A	-250	A	-373	A	-448	A
Hunc18b2	AB002559_at	503	P	786	A	377	A	239	A	376	A	675	A	504	A	556	A	346	A	620	A	1562	A	2605	A	1665	A	1422	A	1816	A	990	A	1469	A	941	A	2154	A	2091	A	682	A	414	A	650	A	1106	M	787	A	886	M	571	A	313	A	427	P	827	A	1912	A	3376	A	1182	M	1067	A	1644	P	986	P	4048	A	1174	A	703	A	1133	A	3145	P	2322	A
Proteasome subunit p44.5	AB003102_at	994	P	1314	P	580	P	932	P	479	P	1491	P	716	P	765	P	747	P	999	P	2043	P	1966	P	1275	P	2042	P	2423	P	706	P	2288	P	2066	P	2409	P	1551	P	5825	P	2243	P	2304	P	3813	P	3636	P	548	P	2067	P	1885	P	1891	P	686	P	1268	P	2041	P	1394	P	1379	P	1007	P	777	P	1740	A	2787	P	544	A	2838	P	2322	P	1151	P
Proteasome subunit p55	AB003103_at	495	P	134	A	545	P	195	P	278	P	488	P	419	P	1027	P	131	P	344	P	613	P	633	P	457	P	1074	P	736	P	753	P	643	P	787	P	1296	P	512	P	2645	P	397	P	832	P	507	P	663	P	304	P	630	P	353	P	329	P	130	A	722	P	1760	P	1836	P	1855	P	174	A	163	P	817	P	882	P	148	A	1235	P	1703	P	606	P
Proteasome subunit p27	AB003177_at	669	P	594	P	521	P	574	P	869	P	1130	P	580	P	1410	P	661	P	997	P	1233	P	1720	P	1477	P	1363	P	1875	P	768	P	1530	P	1516	P	2262	P	850	P	2349	P	2554	P	1420	P	3155	P	2791	P	761	P	1139	P	1257	P	1313	P	722	P	1001	P	2789	A	1554	P	2844	P	385	A	725	P	1423	A	1553	P	921	A	1066	A	1966	P	1375	P
Cdc7-related kinase	AB003698_at	345	P	313	M	464	P	160	P	584	P	1170	P	307	A	1155	P	282	P	358	P	162	M	349	A	134	A	625	P	1588	P	651	P	654	P	475	P	417	A	89	A	978	P	637	P	863	P	856	P	1388	P	287	P	716	P	163	A	312	P	581	P	309	A	1527	A	1407	P	1225	P	595	P	235	A	336	A	444	P	227	A	1004	P	210	A	343	A
"PKU-alpha, partial cds"	AB004884_at	1667	P	682	A	1430	P	996	P	1203	P	1944	P	1252	P	5543	P	884	P	1474	P	2013	P	3933	A	2031	A	3383	P	2369	A	2010	P	1915	P	1491	P	3445	P	2317	P	1710	P	2190	P	1693	P	1750	P	2288	P	653	P	1332	P	1441	P	1302	P	220	A	764	A	996	A	2542	P	4522	A	286	A	994	P	1211	A	2476	P	847	A	3342	P	2304	A	1492	P
Aquaporin 6	AB006190_at	795	A	812	A	810	A	699	A	1463	P	1019	A	921	A	1871	P	900	A	863	P	1134	P	2152	P	2175	P	1605	P	1776	P	1482	P	1276	P	1159	A	3006	P	1546	A	1118	P	1052	P	681	A	1130	A	1240	P	601	A	719	A	678	A	528	A	1298	P	953	A	3199	A	2741	A	3438	P	389	A	465	P	1394	A	1683	A	668	A	1463	A	2159	A	984	P
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2	AC000061_cds2_at	283	A	500	A	445	A	278	A	732	P	174	A	441	A	652	A	211	A	497	A	1653	A	1431	A	1492	A	968	A	1095	A	506	A	344	A	500	A	1606	A	1081	A	318	A	311	A	209	A	536	A	9	A	150	P	377	P	340	A	273	A	170	A	1117	P	1053	A	1580	A	1464	P	528	A	105	A	1577	A	495	A	376	A	230	A	1663	A	760	A
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2	AC000061_cds3_at	-48	A	-221	A	-57	A	51	A	194	P	-30	A	-203	A	-262	A	-92	A	-163	A	-173	A	-355	A	-303	A	-395	A	-250	A	-207	A	-117	A	-121	A	-320	A	-235	A	-15	A	-106	A	-138	A	-274	A	-260	A	-83	A	-55	A	-76	A	-9	A	-100	A	-455	A	104	A	-147	A	-151	A	-188	A	-76	A	-298	A	-359	A	-34	A	-565	A	-145	A	-110	A
"PAC clone 2G3A from 13q12-13q13, complete sequence"	AC000062_at	9	A	-54	A	27	A	-22	A	107	P	-41	A	15	A	-17	A	-24	A	-26	A	-6	A	103	A	0	A	5	A	-12	A	-207	A	29	A	-24	A	-65	A	-103	A	-52	A	10	A	-50	A	-26	A	7	A	2	A	-12	A	-1	A	1	A	-75	A	-18	A	426	P	102	A	154	A	-107	A	12	A	-19	A	35	A	-34	A	-158	A	-70	A	-55	A
WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22	AC000064_cds1_at	630	P	493	P	847	P	571	P	536	A	1113	P	1359	P	2282	P	770	P	933	P	640	P	1556	A	1891	P	1104	P	1390	A	895	P	1661	P	1744	P	1779	P	1372	P	1697	P	2164	P	867	P	1979	P	2001	P	309	P	886	P	1278	P	471	P	220	A	837	A	1237	A	1580	A	1445	A	721	P	620	A	1365	M	3446	P	931	P	1967	P	3296	P	2141	P
WUGSC:H_RG083M05.1 gene extracted from Human BAC clone RG083M05 from 7q21-7q22	AC000064_cds2_at	158	A	306	P	246	P	181	P	203	P	176	P	211	P	698	P	197	P	305	P	214	A	289	A	332	P	354	P	574	P	276	P	333	A	101	P	423	P	441	P	269	P	208	P	187	P	320	P	347	P	138	A	96	A	128	P	118	P	155	A	431	A	1358	A	554	P	1612	P	259	A	140	A	153	A	572	P	133	A	548	A	1406	A	373	A
"BAC clone RG293F11 from 7q21-7q22, complete sequence"	AC000066_at	4	A	-23	A	22	A	-46	A	191	A	-99	A	28	A	67	A	-32	A	-44	A	18	A	-142	A	-110	A	94	A	-64	A	58	A	-40	A	-85	A	-119	A	-188	A	29	A	-17	A	-4	A	81	A	69	A	50	A	47	A	-9	A	6	A	60	A	-48	A	305	P	-125	A	-157	A	-67	A	-59	A	-96	A	46	A	-34	A	-148	A	344	A	-40	A
Metabotropic glutamate receptor 8 mRNA	AC000099_at	161	A	257	A	75	A	-5	A	-175	A	32	A	-13	A	815	P	-67	A	192	A	69	A	491	A	534	A	-35	A	329	A	152	A	418	A	139	A	352	A	-51	A	274	M	186	A	143	A	336	A	374	A	16	A	53	A	126	A	118	A	340	A	218	A	1647	A	484	A	978	A	-152	A	39	A	432	A	512	P	188	A	543	A	-180	A	186	A
WUGSC:H_GS188P18.1a gene extracted from Human BAC clone GS188P18	AC000115_cds1_at	-58	A	-37	A	-173	A	-235	A	-1335	A	-268	A	-211	A	-223	A	-74	A	-336	A	-76	A	207	A	-428	A	-123	A	-133	A	-622	A	-83	A	-520	A	-21	A	145	A	-685	A	-153	A	-313	A	-236	A	-896	A	-143	A	-178	A	-155	A	-157	A	-802	A	-509	A	-1020	A	-593	A	-1849	A	17	A	-382	A	375	A	-155	A	-406	A	-223	A	40	A	99	A
"A-589H1.1 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA"	AC002045_xpt1_at	250	P	963	P	419	P	956	P	232	P	1242	P	189	P	691	P	549	P	1112	P	899	P	557	P	452	P	247	A	983	P	1034	P	416	P	1388	P	1182	P	244	A	1329	P	1266	P	1367	P	947	P	955	P	316	P	670	P	361	P	310	P	601	P	1147	P	1165	A	2455	P	2236	P	192	A	153	A	-28	A	1506	P	376	A	114	A	1003	A	437	P
WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22	AC002073_cds1_at	71	A	-165	A	46	A	42	A	-527	A	-60	A	-8	A	538	A	42	A	13	A	349	A	480	A	101	A	118	A	-24	A	309	A	38	A	34	A	737	A	169	A	269	A	271	A	69	A	518	A	305	A	-21	A	-143	A	-111	A	-36	A	-536	A	522	A	-1398	A	368	A	197	A	147	A	177	A	384	A	882	M	-14	A	-12	A	-35	A	84	A
"GUANINE NUCLEOTIDE-BINDING PROTEIN G(T), ALPHA-1 SUBUNIT"	AC002077_at	-325	A	-547	A	-224	A	-190	A	-728	A	-298	A	-449	A	-840	A	-243	A	-778	A	128	A	-1054	A	-1290	A	-466	A	-1462	A	-600	A	-1125	A	-1034	A	-2327	A	-1715	A	-273	A	136	A	-688	A	-169	A	360	A	-412	A	-391	A	-507	A	-101	A	506	A	346	A	-4614	A	-1275	A	-968	A	-600	A	-574	A	67	A	-1539	A	-336	A	-439	A	-1896	A	-1002	A
"PAC clone DJ525N14 from Xq23, complete sequence"	AC002086_at	67	A	49	A	117	P	45	A	4	A	113	A	97	A	209	P	30	A	21	A	115	A	142	A	52	A	200	A	64	A	331	P	130	A	12	A	-27	A	-18	A	205	P	128	P	-117	A	158	P	96	A	43	A	60	A	96	P	-37	A	-5	A	54	A	-176	A	73	A	55	A	215	A	-64	A	192	A	441	P	19	A	106	A	58	A	125	M
"COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	AC002115_cds1_at	3024	P	4617	P	3180	P	3383	P	2693	P	4935	P	4894	P	3222	P	2794	P	3427	P	3155	P	6014	P	5107	P	3932	P	5965	P	3499	P	7969	P	6682	P	5138	P	3910	P	8605	P	9206	P	13413	P	9883	P	8271	P	5451	P	7109	P	4973	P	5198	P	2732	P	6909	P	10401	P	7325	P	6027	P	3848	P	5403	P	4183	P	4100	P	1555	P	4729	P	9114	P	2783	P
"F25451_3 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	AC002115_cds3_at	612	P	1090	A	694	P	435	P	593	A	945	P	628	A	708	A	345	A	529	A	1783	A	3561	P	2387	P	1836	P	2069	P	564	A	1316	A	1198	A	1465	A	2641	A	617	A	466	P	491	A	912	P	708	P	443	A	797	M	390	M	203	A	230	A	1851	A	2926	P	1330	A	834	A	564	A	785	A	1461	A	1934	P	1094	A	1285	A	1738	A	1439	P
"UPKA gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	AC002115_cds4_at	-643	A	-1137	A	-546	A	-424	A	-999	A	-981	A	-755	A	-1027	A	-690	A	-1823	A	-2706	A	-1912	A	-1472	A	-2225	A	-2401	A	-1281	A	-2070	A	-1305	A	-3597	A	-2011	A	-1668	A	-1711	A	-1312	A	-1808	A	-1836	A	-35	A	-1401	A	-238	A	-436	A	551	A	-734	A	-1479	A	-1173	A	-3465	A	-757	A	-715	A	-3471	A	-2533	A	-302	A	-1625	A	-3635	A	-1634	A
"F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"	AC002115_rna2_at	631	P	743	P	668	P	545	P	331	M	810	P	390	P	684	P	764	P	396	P	387	A	1617	P	356	A	1375	P	840	A	546	P	1426	P	979	P	569	A	653	A	1700	P	1418	P	1470	P	1843	P	1595	P	344	P	981	P	818	P	734	P	691	M	1044	A	546	A	971	A	377	A	152	A	465	P	451	A	1261	P	203	A	1141	M	396	A	125	A
"BAC clone GS244B22 from 7q21-q22, complete sequence"	AC002450_at	39	A	-40	A	191	A	209	A	212	A	299	A	208	M	343	A	151	A	308	A	324	A	333	A	67	A	631	A	220	A	58	A	202	A	354	A	390	A	112	A	116	A	-102	A	37	A	480	A	541	P	-50	A	-43	A	99	A	202	A	30	A	182	A	200	A	208	A	-909	A	76	A	0	A	-721	A	141	A	-84	A	528	A	-390	A	-139	A
